customer_id,age_band,gender,total_visits,total_spend,avg_basket_value
C0140,55+,M,1,10.34,10.34
C0141,55+,F,4,33.46,8.365
C0142,25-34,M,1,0.0,0.0
C0143,25-34,F,1,6.04,6.04
C0144,25-34,M,2,35.83,17.915
C0145,25-34,F,1,0.28,0.28
C0146,18-24,F,4,35.699999999999996,8.924999999999999
C0147,35-44,M,5,38.24,7.648000000000001
C0148,35-44,F,2,4.99,2.495
C0149,18-24,M,1,11.75,11.75
C0150,25-34,M,1,0.0,0.0
C0151,55+,M,3,20.91,6.97
C0152,25-34,M,1,0.0,0.0
C0153,18-24,F,2,10.36,5.18
C0154,25-34,F,2,43.39,21.695
C0155,55+,F,2,12.97,6.485
C0156,25-34,M,1,0.0,0.0
C0157,35-44,F,1,17.02,17.02
C0158,45-54,M,2,0.0,0.0
C0159,25-34,F,4,30.98,7.745
C0160,35-44,F,2,17.619999999999997,8.809999999999999
C0161,25-34,F,1,1.66,1.66
C0162,35-44,M,1,4.74,4.74
C0163,35-44,F,2,31.04,15.52
C0164,35-44,F,5,42.86,8.572
C0165,18-24,M,3,17.42,5.8066666666666675
C0166,45-54,F,3,27.57,9.19
C0167,25-34,M,1,0.0,0.0
C0168,18-24,F,5,40.88,8.176
C0169,18-24,M,4,21.919999999999998,5.4799999999999995
C0170,35-44,M,4,33.57,8.3925
C0171,35-44,F,2,18.68,9.34
C0172,18-24,M,1,0.0,0.0
C0173,35-44,M,1,10.77,10.77
C0174,25-34,M,3,16.810000000000002,5.603333333333334
C0175,35-44,M,2,13.530000000000001,6.765000000000001
C0176,18-24,M,1,9.78,9.78
C0177,35-44,M,2,2.9,1.45
C0178,25-34,F,3,17.0,5.666666666666667
C0179,55+,M,2,10.62,5.31
C0180,18-24,M,1,8.07,8.07
C0181,25-34,F,3,14.87,4.956666666666666
C0182,18-24,F,4,17.41,4.3525
C0183,55+,F,5,35.06,7.0120000000000005
C0184,45-54,F,1,4.95,4.95
C0185,25-34,F,3,35.33,11.776666666666666
C0186,35-44,F,2,15.64,7.82
C0187,45-54,F,2,13.81,6.905
C0188,35-44,M,2,3.74,1.87
C0189,35-44,M,1,4.14,4.14
C0190,25-34,F,4,20.77,5.1925
C0191,18-24,M,5,35.16,7.031999999999999
C0192,45-54,M,2,9.76,4.88
C0193,55+,M,5,49.65,9.93
C0194,35-44,F,1,11.82,11.82
C0195,25-34,F,1,0.0,0.0
C0196,25-34,M,1,0.0,0.0
C0197,35-44,F,4,23.64,5.91
C0198,45-54,M,4,38.32,9.58
C0199,45-54,M,2,6.86,3.43
C0200,45-54,M,5,38.72,7.744
C0201,35-44,M,3,4.25,1.4166666666666667
C0202,18-24,F,1,5.65,5.65
C0203,18-24,F,1,1.84,1.84
C0204,45-54,F,2,11.86,5.93
C0205,35-44,M,2,12.59,6.295
C0206,18-24,F,1,7.78,7.78
C0207,18-24,M,3,2.8,0.9333333333333332
C0208,35-44,F,1,2.3,2.3
C0209,18-24,M,1,9.38,9.38
C0210,18-24,M,1,1.49,1.49
C0211,35-44,M,2,10.43,5.215
C0212,35-44,F,2,24.04,12.02
C0213,35-44,F,3,13.02,4.34
C0214,25-34,F,3,15.75,5.25
C0215,35-44,F,1,31.32,31.32
C0216,25-34,M,1,14.32,14.32
C0217,25-34,F,4,2.93,0.7325
C0218,35-44,F,2,1.89,0.945
C0219,35-44,M,3,45.76,15.253333333333332
C0220,45-54,M,1,4.99,4.99
C0221,35-44,M,1,6.86,6.86
C0222,35-44,F,3,15.82,5.273333333333333
C0223,18-24,M,2,17.39,8.695
C0224,25-34,M,2,19.93,9.965
C0225,25-34,M,1,0.0,0.0
C0226,25-34,F,2,21.509999999999998,10.754999999999999
C0227,55+,M,5,46.72,9.344
C0228,25-34,F,2,0.0,0.0
C0229,45-54,F,5,23.45,4.6899999999999995
C0230,35-44,M,1,16.81,16.81
C0231,45-54,M,5,25.34,5.068
C0232,35-44,F,3,21.33,7.109999999999999
C0233,35-44,M,2,3.99,1.995
C0234,25-34,M,2,19.279999999999998,9.639999999999999
C0235,18-24,F,1,15.08,15.08
C0236,35-44,F,3,18.21,6.07
C0237,25-34,M,1,0.0,0.0
C0238,18-24,F,3,8.32,2.7733333333333334
C0239,35-44,M,3,17.3,5.766666666666667
C0240,18-24,M,1,12.44,12.44
C0241,55+,M,4,19.88,4.97
C0242,55+,F,1,0.0,0.0
C0243,55+,M,2,14.3,7.15
C0244,25-34,M,2,13.370000000000001,6.6850000000000005
C0245,18-24,M,1,0.0,0.0
C0246,55+,F,5,49.709999999999994,9.941999999999998
C0247,25-34,F,2,3.48,1.74
C0248,55+,F,1,18.16,18.16
C0249,55+,F,3,41.56,13.853333333333333
C0250,45-54,F,1,23.73,23.73
C0251,25-34,M,1,12.47,12.47
C0252,25-34,F,1,7.36,7.36
C0253,45-54,F,5,27.0,5.4
C0254,25-34,F,2,5.56,2.78
C0255,18-24,M,1,0.0,0.0
C0256,35-44,F,2,13.43,6.715
C0257,55+,F,1,9.09,9.09
C0258,35-44,M,2,12.99,6.495
C0259,35-44,F,2,14.26,7.13
C0260,18-24,M,1,0.0,0.0
C0261,35-44,M,1,5.69,5.69
C0262,55+,M,2,13.38,6.69
C0263,18-24,M,2,18.42,9.21
C0264,35-44,M,4,35.120000000000005,8.780000000000001
C0265,45-54,F,1,10.51,10.51
C0266,35-44,M,4,21.68,5.42
C0267,35-44,M,1,13.5,13.5
C0268,35-44,F,2,10.8,5.4
C0269,25-34,M,3,12.459999999999999,4.153333333333333
C0270,25-34,F,3,12.65,4.216666666666667
C0271,45-54,F,3,54.35,18.116666666666667
C0272,45-54,F,2,4.77,2.385
C0273,45-54,M,4,45.7,11.425
C0274,55+,M,1,23.82,23.82
C0275,35-44,M,5,26.18,5.236
C0276,35-44,F,1,0.0,0.0
C0277,45-54,M,5,27.66,5.532
C0278,35-44,M,1,0.0,0.0
C0279,35-44,M,1,9.63,9.63
C0280,45-54,F,1,0.0,0.0
C0281,45-54,F,3,28.89,9.63
C0282,25-34,M,2,11.35,5.675
C0283,25-34,M,5,22.369999999999997,4.473999999999999
C0284,18-24,M,1,14.26,14.26
C0285,35-44,M,3,49.61,16.536666666666665
C0286,18-24,F,3,3.52,1.1733333333333333
C0287,25-34,F,1,18.95,18.95
C0288,35-44,F,1,13.94,13.94
C0289,25-34,F,2,0.83,0.415
C0290,35-44,M,1,0.0,0.0
C0291,18-24,M,1,10.11,10.11
C0292,18-24,M,4,18.68,4.67
C0293,45-54,F,2,13.01,6.505
C0294,25-34,M,4,32.52,8.13
C0295,18-24,F,2,8.72,4.36
C0296,35-44,F,1,0.0,0.0
C0297,45-54,M,2,15.37,7.685
C0298,25-34,M,5,26.02,5.204
C0299,35-44,M,2,0.0,0.0
C0300,18-24,F,2,24.8,12.4
C0301,18-24,M,4,16.24,4.06
C0302,35-44,F,1,0.0,0.0
C0303,35-44,M,2,7.45,3.725
C0304,35-44,F,2,13.44,6.72
C0305,35-44,F,1,17.71,17.71
C0306,55+,M,1,0.0,0.0
C0307,35-44,F,4,43.92,10.98
C0308,25-34,F,3,13.200000000000001,4.4
C0309,45-54,M,3,7.29,2.43
C0310,25-34,F,3,25.46,8.486666666666666
C0311,25-34,M,3,25.660000000000004,8.553333333333335
C0312,18-24,F,2,22.92,11.46
C0313,18-24,M,1,6.01,6.01
C0314,55+,M,2,12.89,6.445
C0315,45-54,F,1,12.33,12.33
C0316,35-44,F,5,16.31,3.2619999999999996
C0317,25-34,F,2,8.26,4.13
C0318,18-24,F,5,29.32,5.864
C0319,18-24,F,1,17.68,17.68
C0320,25-34,M,1,7.45,7.45
C0321,35-44,F,1,0.0,0.0
C0322,35-44,M,1,0.0,0.0
C0323,35-44,M,2,27.96,13.98
C0324,25-34,F,1,4.21,4.21
C0325,55+,M,1,0.0,0.0
C0326,35-44,M,5,32.48,6.4959999999999996
C0327,35-44,M,1,12.18,12.18
C0328,35-44,M,1,0.0,0.0
C0329,25-34,F,1,11.88,11.88
C0330,25-34,M,1,10.1,10.1
C0331,25-34,F,2,13.71,6.855
C0332,45-54,F,1,13.6,13.6
C0333,18-24,M,3,29.479999999999997,9.826666666666666
C0334,18-24,F,5,41.77,8.354000000000001
C0335,18-24,F,4,3.01,0.7525
C0336,18-24,F,2,6.56,3.28
C0337,45-54,M,2,0.0,0.0
C0338,35-44,F,3,3.36,1.1199999999999999
C0339,25-34,F,2,3.56,1.78
C0340,18-24,F,1,26.59,26.59
C0341,25-34,M,5,20.66,4.132
C0342,25-34,F,2,29.47,14.735
C0343,18-24,M,1,3.88,3.88
C0344,25-34,M,2,22.64,11.32
C0345,25-34,M,1,0.0,0.0
C0346,35-44,M,5,38.120000000000005,7.6240000000000006
C0347,35-44,M,1,6.77,6.77
C0348,18-24,M,1,0.0,0.0
C0349,25-34,F,2,0.0,0.0
C0350,35-44,M,1,0.0,0.0
C0351,35-44,F,5,39.46,7.892
C0352,45-54,F,1,0.0,0.0
C0353,35-44,M,1,1.34,1.34
C0354,18-24,F,3,17.36,5.786666666666666
C0355,18-24,F,2,19.86,9.93
C0356,35-44,F,4,34.59,8.6475
C0357,18-24,F,1,1.41,1.41
C0358,35-44,M,2,19.13,9.565
C0359,55+,F,5,36.7,7.340000000000001
C0360,35-44,M,1,0.0,0.0
C0361,25-34,F,2,12.27,6.135
C0362,35-44,F,1,2.16,2.16
C0363,25-34,M,4,11.54,2.885
C0364,35-44,F,4,30.86,7.715
C0365,55+,F,3,3.27,1.09
C0366,25-34,F,1,6.28,6.28
C0367,55+,M,1,0.0,0.0
C0368,55+,F,4,13.85,3.4625
C0369,18-24,M,1,21.25,21.25
C0370,18-24,F,4,15.19,3.7975
C0371,18-24,M,1,20.18,20.18
C0372,18-24,M,1,19.19,19.19
C0373,18-24,F,1,16.78,16.78
C0374,35-44,F,5,11.26,2.252
C0375,18-24,M,5,32.22,6.444
C0376,25-34,M,5,17.560000000000002,3.5120000000000005
C0377,45-54,F,1,12.24,12.24
C0378,18-24,M,2,12.39,6.195
C0379,45-54,F,5,39.559999999999995,7.911999999999999
C0380,25-34,F,1,6.17,6.17
C0381,18-24,F,1,11.44,11.44
C0382,35-44,F,4,28.79,7.1975
C0383,35-44,M,2,0.0,0.0
C0384,45-54,F,1,2.81,2.81
C0385,35-44,M,1,11.49,11.49
C0386,45-54,F,2,20.1,10.05
C0387,25-34,M,3,5.73,1.9100000000000001
C0388,18-24,F,1,0.0,0.0
C0389,45-54,M,1,0.0,0.0
C0390,45-54,M,2,6.64,3.32
C0391,55+,F,1,7.46,7.46
C0392,25-34,F,1,0.0,0.0
C0393,25-34,F,1,0.0,0.0
C0394,45-54,F,1,6.0,6.0
C0395,25-34,M,1,2.38,2.38
C0396,55+,F,1,0.0,0.0
C0397,45-54,M,2,8.01,4.005
C0398,25-34,M,3,7.65,2.5500000000000003
C0399,45-54,F,5,58.58,11.716
C0400,45-54,M,1,0.0,0.0
C0401,18-24,M,4,27.97,6.9925
C0402,55+,M,2,0.92,0.46
C0403,35-44,M,1,14.5,14.5
C0404,45-54,F,3,10.969999999999999,3.6566666666666663
C0405,25-34,F,3,18.73,6.243333333333333
C0406,45-54,F,3,4.26,1.42
C0407,25-34,F,5,29.599999999999998,5.92
C0408,18-24,M,2,7.85,3.925
C0409,55+,M,3,0.0,0.0
C0410,18-24,F,3,32.870000000000005,10.956666666666669
C0411,25-34,F,2,60.489999999999995,30.244999999999997
C0412,55+,F,1,7.82,7.82
C0413,55+,M,1,5.02,5.02
C0414,35-44,F,1,4.75,4.75
C0415,35-44,F,1,8.07,8.07
C0416,25-34,F,1,2.58,2.58
C0417,25-34,M,4,39.03,9.7575
C0418,25-34,M,2,2.49,1.245
C0419,35-44,M,1,25.2,25.2
C0420,45-54,M,3,14.34,4.78
C0421,45-54,M,1,28.58,28.58
C0422,45-54,M,4,37.08,9.27
C0423,18-24,M,2,10.08,5.04
C0424,25-34,M,1,21.19,21.19
C0425,18-24,F,1,13.02,13.02
C0426,35-44,F,5,61.84,12.368
C0427,25-34,M,1,33.26,33.26
C0428,45-54,M,2,29.330000000000002,14.665000000000001
C0429,25-34,F,1,0.48,0.48
C0430,18-24,M,4,37.4,9.35
C0431,18-24,M,1,5.67,5.67
C0432,45-54,M,1,0.0,0.0
C0433,35-44,F,2,8.53,4.265
C0434,18-24,F,2,26.04,13.02
C0435,18-24,F,5,36.33,7.266
C0436,35-44,F,1,15.61,15.61
C0437,18-24,F,2,13.06,6.53
C0438,45-54,M,2,6.42,3.21
C0439,35-44,F,1,8.33,8.33
C0440,18-24,M,3,25.38,8.459999999999999
C0441,18-24,M,1,4.47,4.47
C0442,55+,F,1,4.08,4.08
C0443,25-34,F,4,28.76,7.19
C0444,25-34,M,3,50.92,16.973333333333333
C0445,45-54,M,2,0.0,0.0
C0446,55+,M,2,23.3,11.65
C0447,55+,F,1,0.0,0.0
C0448,45-54,F,2,22.58,11.29
C0449,25-34,F,1,10.28,10.28
C0450,18-24,F,1,1.51,1.51
C0451,45-54,F,2,8.2,4.1
C0452,35-44,M,3,50.6,16.866666666666667
C0453,25-34,F,2,6.89,3.445
C0454,55+,M,4,38.36,9.59
C0455,18-24,M,5,25.42,5.0840000000000005
C0456,25-34,M,1,3.92,3.92
C0457,18-24,F,3,10.8,3.6
C0458,25-34,F,1,0.0,0.0
C0459,18-24,F,5,45.269999999999996,9.053999999999998
C0460,18-24,M,3,12.64,4.213333333333334
C0461,18-24,M,4,20.47,5.1175
C0462,35-44,M,4,24.919999999999998,6.2299999999999995
C0463,35-44,M,1,18.32,18.32
C0464,35-44,M,2,4.13,2.065
C0465,55+,M,3,6.36,2.12
C0466,25-34,F,2,9.91,4.955
C0467,25-34,F,1,0.0,0.0
C0468,45-54,F,3,18.77,6.256666666666667
C0469,25-34,F,1,23.52,23.52
C0470,55+,M,2,12.47,6.235
C0471,18-24,M,2,32.010000000000005,16.005000000000003
C0472,55+,F,1,13.2,13.2
C0473,18-24,M,3,24.86,8.286666666666667
C0474,45-54,F,5,3.8400000000000003,0.768
C0475,35-44,F,1,20.39,20.39
C0476,55+,F,2,19.97,9.985
C0477,18-24,M,4,18.65,4.6625
C0478,35-44,F,3,29.17,9.723333333333334
C0479,55+,F,2,1.9,0.95
C0480,35-44,F,5,42.95,8.59
C0481,35-44,M,1,29.84,29.84
C0482,35-44,M,2,4.95,2.475
C0483,25-34,F,1,0.0,0.0
C0484,35-44,M,1,4.18,4.18
C0485,35-44,M,1,29.67,29.67
C0486,55+,M,5,29.7,5.9399999999999995
C0487,18-24,M,1,12.01,12.01
C0488,25-34,M,1,18.83,18.83
C0489,55+,M,3,28.61,9.536666666666667
C0490,45-54,M,2,17.009999999999998,8.504999999999999
C0491,25-34,M,1,0.0,0.0
C0492,35-44,M,5,14.81,2.962
C0493,25-34,M,2,1.64,0.82
C0494,18-24,F,1,0.0,0.0
C0495,25-34,F,4,24.11,6.0275
C0496,25-34,M,2,25.72,12.86
C0497,35-44,F,3,22.150000000000002,7.383333333333334
C0498,18-24,F,5,33.9,6.779999999999999
C0499,55+,M,4,20.16,5.04
C0500,55+,M,2,12.55,6.275
